ID,GS,Cuadrante,DO,fHORA,Ano,Guanacos,DMin,DMax,Patch,Log C2,ALev,NComp,Agr,Sync.Max,ACT,Chulengos,Chu_PA,Sync4
865,F,SO,374,T4,8,24,1,50,"157,08","-0,59063053",1,4,0,"0,583333333","0,145833333",3,1,"6,25"
866,GsC,SO,989,T4,8,43,1,100,"314,16","-0,839608945",1,1,0,1,1,0,0,"2,777777778"
867,GsC,SO,885,T4,8,3,10,50,"1570,8","1,241878383",1,1,0,1,1,0,0,"1,136363636"
868,GsC,SO,923,T4,8,8,10,100,"3141,6","0,853698212",1,2,0,"0,75","0,375",0,0,"1,785714286"
869,F,SE,892,T4,8,9,2,50,"314,16","0,127935031",1,1,0,1,1,1,1,"1,136363636"
870,F,SE,1523,T4,8,22,1,50,"157,08","-0,552841969",1,3,0,"0,590909091","0,196969697",1,1,"6,25"
871,F,SO,322,T4,8,24,1,50,"157,08","-0,59063053",1,1,0,1,1,3,1,"2,083333333"
872,GsC,SO,944,T4,8,49,1,100,"314,16","-0,89633657",1,2,1,"0,93877551","0,469387755",0,0,"1,666666667"
873,F,SE,311,T4,8,7,1,10,"31,416","-0,088309841",1,1,0,1,1,1,1,"2,083333333"
874,GsC,SO,1017,T4,8,7,10,100,"3141,6","0,911690159",1,1,0,1,1,0,0,"2,205882353"
875,GsC,SO,1023,T4,8,8,10,50,"1570,8","0,815909651",1,1,0,1,1,0,0,"0,925925926"
876,F,SO,566,T4,8,9,1,20,"62,832","-0,177250925",1,1,0,1,1,1,1,"1,785714286"
877,F,SE,861,T4,8,10,1,30,"94,248","-0,216059555",1,1,0,1,1,1,1,"1,5625"
878,F,SE,1526,T4,8,21,1,50,"157,08","-0,532638583",1,1,0,1,1,1,1,"1,785714286"
879,GsC,SO,1013,T4,8,47,2,100,"628,32","-0,58148715",1,2,1,"0,893617021","0,446808511",0,0,"0,520833333"
880,GsC,SO,1156,T4,8,6,1,100,"314,16","0,01570826",1,1,0,1,1,0,0,"2,34375"
881,F,SE,428,T4,8,7,1,30,"94,248","-0,061157595",1,1,0,1,1,1,1,"1,25"
882,F,SO,638,T4,8,8,2,30,"188,496","0,168092169",1,1,0,1,1,1,1,"1,388888889"
883,GsC,SO,673,T4,8,8,2,10,"62,832","0,116939647",1,1,0,1,1,0,0,"8,333333333"
884,F,SE,1080,T4,8,9,5,50,"785,4","0,501515694",1,1,0,1,1,1,1,"1,136363636"
885,GsC,SE,1516,T4,8,15,20,100,"6283,2","0,843938374",1,1,0,1,1,0,0,"0,806451613"
886,F,SE,938,T4,8,16,1,50,"157,08","-0,41453927",1,1,0,1,1,3,1,"1,5625"
887,GsC,SO,1083,T4,8,53,1,100,"314,16","-0,930416359",1,2,1,"0,867924528","0,433962264",0,0,"0,78125"
889,GsC,SO,1023,T5,8,6,1,20,"62,832","-0,001159666",1,2,0,"0,833333333","0,416666667",0,0,"1,136363636"
